4751004281181,שימורי שפרוטים מעושנים בשמן צמחי,8.82,7.52,7.363,671.00,94,1324556,27,1
4751004283567,שימורי שפרוטים,9.00,7.64,5.360,668.00,121,21561,13,1
7290008645935,חומוס אחלה 750,11.90,10.10,8.130,663.00,1,1,5,1
4860019001346,בורג'ומי 500מ''ל,7.50,6.37,4.554,596.00,241,21561,34,1
7290004129545,גבינה 3% תנובה,5.00,4.25,3.580,581.00,1,1,4,1
7290005838002,דניאלה וניל,4.00,3.40,2.890,563.00,1,1,5,1
4750142021505,פילזנר פחית,8.00,6.80,26.486,562.00,121,21561,32,1
4607086730157,גרנים,11.50,9.77,9.364,560.00,121,21561,27,1
7290002871361,בירה קרלסברג 500 מ''ל,8.30,7.06,6.950,551.00,241,21561,12,1
4033100013348,LD BLUE 100'S,24.65,20.97,19.512,534.00,101,1,10,1
7290002019794,רסק קטן,2.01,1.71,0.532,533.00,1,1,12,1
7290000042244,חלב כד תנובה,12.99,11.04,9.032,520.00,1,1,4,1
7290003060009,קמח טחנות ישראליות,4.52,3.84,2.475,518.00,241,21561,12,1
7290000207162,רסק 100 ג' יכין,2.00,1.70,1.251,514.00,241,21561,12,1
8852111005786,סאיירה במיץ טבעי,6.50,5.52,3.883,505.00,94,1324556,6,1
7290004130794,סויה במתיקות מופחתת,10.50,8.92,7.320,496.00,1,1,4,1
7290000044248,רויון קטן,6.50,5.53,4.570,493.00,1,1,4,1
7290005839313,מילקי טופ,4.60,3.91,3.210,490.00,1,1,5,1
72940754,מילקי וניל,2.90,2.47,2.037,489.00,1,1,5,1
8852111005793,סאיירה בתוספת שמן צמחי,6.50,5.52,3.898,486.00,94,1324556,6,1
7290005271410,ביצים גליקסמן,12.11,10.28,0.000,480.00,121,21561,56,1
7290002871248,בירה טובורג 500 מ''ל,9.63,8.17,6.225,464.00,241,21561,12,1
1001,פקדון בקבוקים,1.20,1.02,0.247,448.00,1,1,6,1
7290004125721,שמנת לבישול15%,9.50,8.07,5.800,438.00,1,1,4,1
7290003224272,כיסוני בשר קילו,26.00,22.07,15.190,436.00,241,21561,24,1
5906485301012,XL,5.00,4.24,43.718,433.00,1,1,12,1
4033100014529,L.D SLIMS,24.52,20.84,19.440,430.00,101,1,10,1
1015,קולה קרה 1.5 ליטר,10.00,8.48,0.000,422.00,1,1,0,1
7290001892060,שיפון קל-פולנסקי,10.00,8.49,0.000,421.00,241,21561,999999,1
7290010367009,שמנת 15%,11.50,9.77,6.695,417.00,241,21561,38,1
3800202232738,דובדבנים חמוצים,8.50,7.21,4.457,417.00,121,21561,6,1
4820048616171,תבלין לעוף מיבינה,2.50,2.13,1.264,416.00,121,21561,18,1
7290000042015,חלב שקית תנובה,5.13,4.36,4.040,414.00,1,1,4,1
7290008693134,דניאלה תות,4.00,3.40,2.890,411.00,1,1,5,1
7290000688732,שישיית מי עדן,12.00,10.17,8.989,411.00,1,1,26,1
4750017353021,שפרוטים,6.50,5.52,3.604,411.00,241,21561,6,1
7290000042855,שוקו שקית יטבתה,3.00,2.55,0.000,410.00,1,1,1,1
4820138572417,קריסטיאנסקיה חמאה,6.50,5.52,4.300,406.00,121,21561,43,1
7290004125370,שמנת 9%,3.50,2.98,2.510,405.00,1,1,4,1
3800065781114,עוגת וופל צ'ודה,9.00,7.65,6.308,401.00,241,21561,6,1
4860019001414,בורזומי,8.50,7.22,5.232,401.00,121,21561,34,1
7290001892015,בורודינסקי פולנסקי,10.00,8.49,0.000,401.00,241,21561,999999,1
7290000211442,אורז פרסי קלאסי,8.50,7.21,7.000,399.00,1,1,31,1
7290001302279,במבה קלאסי 60ג אסם,4.09,3.48,2.288,394.00,1,1,14,1
4820039790088,קילקה שלמים ברוטב עגבניות,4.05,3.43,2.123,393.00,1,1,21,1
7290013404114,מלפפונים במלח המרכז,5.00,4.25,2.981,388.00,94,1324556,12,1
6008165271192,פאלמאל אדום ארוך,25.56,21.73,20.265,387.00,101,21561,10,1
7290000043159,חמאה מלוחה,9.50,8.07,7.050,386.00,1,1,4,1
7290006337047,חרדל אירינה,7.50,6.37,4.500,385.00,121,21561,16,1
7290000056968,שמנת להקצפה,13.20,11.22,9.062,375.00,121,21561,4,1
7290004132552,משקה סויה לייט,10.50,8.92,7.320,375.00,1,1,4,1
7296058000014,פרכיות אורז מלא פרח,5.00,4.25,2.689,374.00,1,1,12,1
7290002824183,סקי 500 גרם,10.20,8.66,7.214,372.00,1,1,5,1
40084107,ביצת קינדר ישנה,6.50,5.52,4.230,371.00,121,21561,54,1
4820000192149,אבולון סטרונג,15.00,12.73,10.034,369.00,121,21561,18,1
8057094270439,שעועית אדומה,5.15,4.38,3.800,366.00,94,1324556,21,1
4840382001129,אפונה פורטונה שיא שגב,8.50,7.22,4.243,360.00,121,21561,46,1
7290000284361,דיאט קולה,6.50,5.52,5.000,359.00,1,1,1,1
7290105368331,מילקי תות,2.90,2.46,2.040,358.00,241,21561,5,1
7290000110059,מרגרינה,5.00,4.25,0.000,354.00,1,1,1,1
7290010606382,כוסמת,7.50,6.36,4.400,353.00,121,21561,59,1
30003019,GAULOISES RED,25.00,21.27,18.476,350.00,101,1,17,1
7290000048192,גבינה 9% תנובה,5.01,4.25,3.609,347.00,1,1,4,1
7290013584182,ספרייט,6.50,5.52,2.648,346.00,121,21561,41,1
7290004119133,יוגורט כד 6.5% תנובה,17.50,14.86,12.190,344.00,121,21561,4,1
7290000307237,תירס מתוק פרי גליל,6.00,5.10,3.820,341.00,1,1,12,1
7290000170077,שוקולד מריר,6.50,5.52,3.689,338.00,1,1,48,1
4820034920107,בירה צ'רניגובסקיה,8.00,6.81,135.369,332.00,121,21561,36,1
7290004129736,יופלה מתיקות מעודנת,4.00,3.40,2.860,332.00,1,1,4,1
7290104066016,מילקי עדשים,4.60,3.91,3.210,330.00,1,1,5,1
7290000303598,שעועית ברוטב עגבניות פרי גליל,6.50,5.53,3.991,330.00,1,1,12,1
46024817,נקסט רגיל,25.43,21.59,20.132,329.00,101,1,20,1
7290000043944,יוגורט 1.5ליטר,17.50,14.85,11.730,327.00,1,1,4,1
7290003805525,קורנפלקס 750 תלמה,16.62,14.15,12.500,324.00,1,1,1,1
7290003029112,חלב יטבתה 3%,9.30,7.90,6.745,323.00,1,1,5,1
7290004125585,סויה וניל,10.50,8.92,7.320,323.00,241,21561,4,1
30003002,GAULOISES BLUE,25.00,21.25,18.476,322.00,101,21561,17,1
8852111005779,סאיירה מתובלת בשמן צמחי,6.50,5.52,4.054,317.00,94,1324556,6,1
7290003224357,קוואס,6.50,5.52,4.050,316.00,241,21561,24,1
7290001247143,ספרינג תפוחים,5.00,4.25,46.829,315.00,1,1,26,1
4820000191586,בירה אובולון 1 ל,15.00,12.74,10.030,314.00,241,21561,18,1
72983225,מילקי הפוך,3.60,3.06,2.580,309.00,1,1,5,1
4607038140331,מים יסנטוקי 17 אלפא מגה,7.50,6.37,4.623,308.00,121,21561,47,1
5906245752085,כבד דג שיבוט במיץ טבעי,13.23,11.25,11.390,307.00,94,1324556,27,1
7290001992500,קרפלך לילדים,25.66,21.77,11.769,305.00,121,21561,9,1
7290004125578,סויה מועשר,10.50,8.92,7.320,303.00,1,1,4,1
7290001247082,ספירנג עגבניות,5.00,4.25,43.913,303.00,1,1,26,1
7290006807052,לחם שיפון עם בצל,13.00,11.04,0.000,299.00,40,12,1,1
7290004131432,יופלה לבן 3%,4.00,3.39,2.550,298.00,1,1,4,1
7290000307015,אפונת גינה פרי גליל,5.50,4.67,3.613,297.00,1,1,12,1
7290004136857,ג'לי פטל,2.50,2.13,1.681,295.00,1,1,4,1
7290004943295,אפונה מילוטל קפוא,14.00,11.90,8.800,295.00,1,1,1,1
4820002710242,בירה אובולון בארחוטני,15.00,12.73,10.030,294.00,121,21561,18,1
7290000040974,חלב דל לקטוז 2%,7.84,6.66,5.257,293.00,241,21561,4,1
4000415388706,שוקולד מריר,5.00,4.25,2.560,293.00,241,21561,999999,1
7290013404121,מלפפון בחומץ,5.00,4.25,2.978,290.00,56,21561,12,1
7290011644000,מקלות תירס מתוקים,4.00,3.40,6.758,288.00,67,4894752,32,1
7290003224128,כיסונים עם תפו''א,15.00,12.74,8.325,287.00,241,21561,24,1
7290006337078,פילמני בשר אירינה,25.23,21.42,14.400,286.00,121,21561,16,1
7290000051352,חלב של פעם,7.50,6.38,5.490,284.00,1,1,4,1
7290000042640,חלב עמיד 250 מ"ל,3.04,2.58,1.960,284.00,1,1,4,1
7290004136871,ג'לי אפרסק,2.50,2.13,1.790,283.00,1,1,4,1
4751001584780,כבד דג שיבוט,12.50,10.59,8.308,282.00,94,1324556,6,1
7290004943196,שעועית,12.00,10.19,0.000,280.00,1,1,1,1
7290008757980,ספרינג רימונים,5.00,4.25,46.686,278.00,1,1,26,1
7290002019787,רסק עגבניות 260 גרם,4.00,3.40,1.790,275.00,1,1,12,1
4607012351128,גרעינים מרטין 500ג פרוטרי,28.00,23.80,39.356,274.00,121,21561,32,1
7290003514175,קראנציוס ברבקיו,2.00,1.70,1.013,273.00,121,21561,55,1
7290005271519,ביץים,18.31,15.55,14.550,272.00,121,21561,7,1
7290013411006,כרוב,10.00,8.49,5.817,271.00,121,21561,8,1
7290001247099,ספרינג מנגו,5.00,4.25,45.791,270.00,1,1,26,1
7290003224487,כיסונים אדומים מאמא מרי,22.00,18.67,13.194,269.00,121,21561,24,1
80177173,נוטלה 350,13.50,11.46,0.000,268.00,1,1,1,1
7290004125738,שמנת להקצפה 32"%,9.50,8.07,4.832,267.00,1,1,4,1
7290003224456,פילמני סיבירסקי מאמארי,22.00,18.68,13.154,266.00,121,21561,24,1
7290004063115,מלח מטבח רגיל לבישול,2.00,1.70,3.483,264.00,1,1,12,1
02854528,LM RED,28.43,24.14,22.430,259.00,101,1,20,1
7290000060880,פסטה ספגטי 8 אסם,6.50,5.52,3.777,257.00,1,1,14,1
7290000514314,אפונה גדולה המרכז,4.50,3.82,2.819,256.00,1,1,12,1
4770299045186,חמאה גמיטוס,14.50,12.33,8.400,256.00,121,21561,38,1
4840382001167,ממרח קישואים פורטונה,7.00,5.94,4.700,255.00,1,1,46,1
7290003029815,חלב כד יטבתה,19.00,16.13,12.300,254.00,1,1,5,1
4650057700246,גרינים,4.50,3.82,2.296,251.00,121,21561,33,1
4820080720584,וודקה חלבניי דאר,61.49,52.28,44.050,251.00,241,21561,34,1
7290008415576,חומוס צבר 850 גרם,15.46,13.13,10.560,247.00,1,1,14,1
7290010679935,בסה,15.90,13.49,8.935,247.00,121,21561,42,1
7290000056951,שמנת לבישול 15% 500מל,16.50,14.01,11.600,246.00,121,21561,4,1
4820002710426,אובולון לבנה ליטר,15.00,12.75,10.034,246.00,232,4894765,18,1
7290000497044,לחם ברמן אקטיב 750ג,14.71,12.50,10.641,244.00,40,1,3,1
7290106576537,חומוס מסעדה צבר,10.90,9.25,7.164,239.00,121,21561,14,1
4198022,בקלה צעיר ארוז בשקית,22.00,18.70,12.500,236.33,1,1,51,1
7290000152288,נקנקיות עוף טוב,11.90,10.10,7.541,236.00,1,1,14,1
7290012159787,קפיר 1ל דן,14.50,12.31,9.295,235.00,121,21561,38,1
7290000111186,מיונז 500 ג' תלמה,13.50,11.47,8.000,234.00,1,1,31,1
7290013404381,תירס תמי א2,5.00,4.25,3.307,233.00,121,21561,12,1
4751002126453,לחם שיפון 350 גרם,10.50,8.91,6.365,232.00,40,12,21,1
7290002845362,תרכיז עגבניות המרכז,5.00,4.24,3.501,231.00,94,1324556,12,1
7290000571393,יוגורמה 140 גרם,5.70,4.84,4.050,229.00,1,1,4,1
8057094270460,שעועית לבנה,4.85,4.12,3.800,229.00,1,1,21,1
76136184,פאל מאל סלימס,25.58,21.74,20.233,229.00,101,1,10,1
7290012404627,ספרינג תפוח גזר,5.00,4.25,48.750,228.00,241,21561,26,1
72983416,LM BLUE 100'S,28.59,24.31,22.670,228.00,101,1,20,1
4770209044490,חלב מרוכז,6.50,5.54,3.686,228.00,121,21561,37,1
7290006376091,סודה לשתיה 50 ג',2.50,2.13,0.997,227.00,241,21561,12,1
72945308,שמרית,3.20,2.72,2.230,226.00,1,1,5,1
4820155021769,חלב מרוכז אלפא מגה,8.50,7.21,5.239,223.00,1,1,47,1
5995012511338,לפתן דובדבנים א.ת טעמים,7.61,6.50,4.584,220.00,121,21561,21,1
42138105,ווינסטון סלימס כחול,28.57,24.30,22.557,219.00,101,1,10,1
8697530910781,פאל מאל אדום,25.68,21.84,20.139,219.00,1,1,10,1
5900907000583,מלפפונים שלמים בחומץ,17.00,14.44,10.072,218.00,241,21561,27,1
